2023-07-23 23:26:47.461 [INFO] {a479552ca6887417450fb801d93fd2ef} [DISCORD] Midjourney Bot MessageId: 1132695141405184152, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (62%) (fast)
2023-07-23 23:26:55.595 [INFO] {8c3f3411a88874174c0fb801ad9b4674} [DISCORD] Midjourney Bot MessageId: 1132695141405184152, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (78%) (fast)
2023-07-23 23:27:03.124 [INFO] {b079f5d1a9887417500fb801fdcd5ae1} [DISCORD] Midjourney Bot MessageId: 1132695141405184152, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (93%) (fast)
2023-07-23 23:27:10.631 [INFO] {1c616891ab887417570fb8019e229afb} [DISCORD] Midjourney Bot MessageId: 1132695410541088820, MessageType: 0, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (fast)
2023-07-23 23:28:19.988 [INFO] {948270b7bb8874178e0fb8013aae4efc} [DISCORD] Midjourney Bot MessageId: 1132695701642551367, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (Waiting to start)
2023-07-23 23:28:30.053 [INFO] {98d6540fbe887417950fb801728085d2} [DISCORD] Midjourney Bot MessageId: 1132695701642551367, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (0%) (fast)
2023-07-23 23:28:39.055 [INFO] {1019ee27c08874179c0fb80110c5f1c1} [DISCORD] Midjourney Bot MessageId: 1132695701642551367, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (15%) (fast)
2023-07-23 23:28:46.167 [INFO] {f891d4cfc1887417a30fb801283a8715} [DISCORD] Midjourney Bot MessageId: 1132695701642551367, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (31%) (fast)
2023-07-23 23:28:52.553 [INFO] {0040784cc3887417aa0fb801433bc9de} [DISCORD] Midjourney Bot MessageId: 1132695701642551367, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (46%) (fast)
2023-07-23 23:29:00.296 [INFO] {3094f719c5887417b10fb8019a0b561b} [DISCORD] Midjourney Bot MessageId: 1132695701642551367, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (62%) (fast)
2023-07-23 23:29:09.035 [INFO] {6426e022c7887417b80fb801802173b4} [DISCORD] Midjourney Bot MessageId: 1132695701642551367, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (78%) (fast)
2023-07-23 23:29:15.618 [INFO] {c8ff3babc8887417bf0fb801fa20833a} [DISCORD] Midjourney Bot MessageId: 1132695701642551367, MessageType: 20, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (93%) (fast)
2023-07-23 23:29:23.112 [INFO] {8476df69ca887417c30fb801683459ef} [DISCORD] Midjourney Bot MessageId: 1132695964742848594, MessageType: 0, MessageContent: **The Smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (fast)
2023-07-23 23:30:38.298 [INFO] {c8af60ebdb887417fd0fb801aa275306} [DISCORD] Midjourney Bot MessageId: 1132695262687662080, MessageType: 20, MessageContent: **The big smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (paused) (fast)
2023-07-23 23:30:48.474 [INFO] {3042e749de8874170710b8019b66781a} [DISCORD] Midjourney Bot MessageId: 1132695262687662080, MessageType: 20, MessageContent: **The big smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (0%) (fast)
2023-07-23 23:30:54.939 [INFO] {94d639cbdf8874170b10b8016fc9b156} [DISCORD] Midjourney Bot MessageId: 1132695262687662080, MessageType: 20, MessageContent: **The big smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (15%) (fast)
2023-07-23 23:31:00.500 [INFO] {f0bcaa16e18874171210b80113c8dc3f} [DISCORD] Midjourney Bot MessageId: 1132695262687662080, MessageType: 20, MessageContent: **The big smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (31%) (fast)
2023-07-23 23:31:05.696 [INFO] {a061654ce28874171610b801a59f5248} [DISCORD] Midjourney Bot MessageId: 1132695262687662080, MessageType: 20, MessageContent: **The big smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (46%) (fast)
2023-07-23 23:31:13.684 [INFO] {707d7d28e48874171d10b80194f85c47} [DISCORD] Midjourney Bot MessageId: 1132695262687662080, MessageType: 20, MessageContent: **The big smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (62%) (fast)
2023-07-23 23:31:16.350 [INFO] {8ce761c7e48874172110b8010b254891} [DISCORD] Midjourney Bot MessageId: 1132695262687662080, MessageType: 20, MessageContent: **The big smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (78%) (fast)
2023-07-23 23:31:22.731 [INFO] {8034c143e68874172510b801a39c7da8} [DISCORD] Midjourney Bot MessageId: 1132695262687662080, MessageType: 20, MessageContent: **The big smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (93%) (fast)
2023-07-23 23:31:29.023 [INFO] {c4e4d1bae78874172c10b8017926f5f7} [DISCORD] Midjourney Bot MessageId: 1132696492700860486, MessageType: 0, MessageContent: **The big smile of Mona Lisa --ar 16:9** - <@1097625793154256917> (fast)
2023-07-23 23:32:31.022 [INFO] {1c3f3d2af68874175a10b801cd61e97a} [DISCORD] Midjourney Bot MessageId: 1132696754324770846, MessageType: 20, MessageContent: **Napoleon riding a motorcycle across the Saint Bernard Pass in the Alps. --ar 16:9** - <@1097625793154256917> (Waiting to start)
2023-07-23 23:32:41.139 [INFO] {b83e4485f88874176410b8012ea70eb8} [DISCORD] Midjourney Bot MessageId: 1132696754324770846, MessageType: 20, MessageContent: **Napoleon riding a motorcycle across the Saint Bernard Pass in the Alps. --ar 16:9** - <@1097625793154256917> (0%) (fast)
2023-07-23 23:32:48.981 [INFO] {a4a9a458fa8874176b10b801a9ee562d} [DISCORD] Midjourney Bot MessageId: 1132696754324770846, MessageType: 20, MessageContent: **Napoleon riding a motorcycle across the Saint Bernard Pass in the Alps. --ar 16:9** - <@1097625793154256917> (15%) (fast)
2023-07-23 23:32:56.766 [INFO] {7cc5b628fc8874177210b801dc1630de} [DISCORD] Midjourney Bot MessageId: 1132696754324770846, MessageType: 20, MessageContent: **Napoleon riding a motorcycle across the Saint Bernard Pass in the Alps. --ar 16:9** - <@1097625793154256917> (31%) (fast)
2023-07-23 23:33:04.760 [INFO] {e0932d05fe8874177910b801d43822f7} [DISCORD] Midjourney Bot MessageId: 1132696754324770846, MessageType: 20, MessageContent: **Napoleon riding a motorcycle across the Saint Bernard Pass in the Alps. --ar 16:9** - <@1097625793154256917> (46%) (fast)
2023-07-23 23:33:12.587 [INFO] {44e7b5d7ff8874178010b8010b3efe93} [DISCORD] Midjourney Bot MessageId: 1132696754324770846, MessageType: 20, MessageContent: **Napoleon riding a motorcycle across the Saint Bernard Pass in the Alps. --ar 16:9** - <@1097625793154256917> (62%) (fast)
2023-07-23 23:33:19.715 [INFO] {1cb38a80018974178710b8013c18c1e5} [DISCORD] Midjourney Bot MessageId: 1132696754324770846, MessageType: 20, MessageContent: **Napoleon riding a motorcycle across the Saint Bernard Pass in the Alps. --ar 16:9** - <@1097625793154256917> (78%) (fast)
2023-07-23 23:33:27.316 [INFO] {a8239a45038974178b10b8012759b7b9} [DISCORD] Midjourney Bot MessageId: 1132696754324770846, MessageType: 20, MessageContent: **Napoleon riding a motorcycle across the Saint Bernard Pass in the Alps. --ar 16:9** - <@1097625793154256917> (93%) (fast)
2023-07-23 23:33:35.801 [INFO] {d0e0543f058974179510b801cf201101} [DISCORD] Midjourney Bot MessageId: 1132697025981452349, MessageType: 0, MessageContent: **Napoleon riding a motorcycle across the Saint Bernard Pass in the Alps. --ar 16:9** - <@1097625793154256917> (fast)
2023-07-23 23:34:33.851 [INFO] {448c67c312897417c010b801db127d11} [DISCORD] Midjourney Bot MessageId: 1132697269595033661, MessageType: 20, MessageContent: 
2023-07-23 23:34:37.809 [INFO] {54e746af13897417c410b801cbef259f} [DISCORD] Midjourney Bot MessageId: 1132697269595033661, MessageType: 20, MessageContent: 
